,기입날짜,별점,옵션,후기,sentiment,
0,21.12.15.,1,해피테라스 삼각티백: 차가버섯 10티백,잘 먹고있는데요 오늘 티백안에 머리털인지 무슨털인지 모를 털이 들어있었습니다 생산할때 조금 더 신경 써주세요 저대로 먹었을거 생각하면 하......,0,
1,21.04.20.,1,해피테라스 삼각티백: 모과차 10티백,오자마자 타마셧는데 이게다우려난거맞나요? 향도없고 색도연하고 맛도..ㅠㅠ뜨거운물에 십몇분우려도 몇초담궛다뺀거같아요...,0,
2,21.03.06.,1,해피테라스 삼각티백: 계피차 10티백,생각보다 잘 우러나지 않네요ㅠㅠ,0,
3,20.11.18.,1,해피테라스 삼각티백: 오미자차 10티백,오미자 너무 약하고 별로예요,0,
4,20.11.18.,1,해피테라스 삼각티백: 생강차 10티백,생강차 너무 약해요.,0,
5,20.09.09.,1,해피테라스 삼각티백: 레몬밤차 10티백,저렴하게 잘 구입했다고 생각했고 맛도 괜찮았는데 오늘 먹다보니 티백 안에 파란색 불순물이 있는걸 발견했어요 찜찜해서 남은건 못 먹을 것 같아요,0,
6,20.03.31.,1,해피테라스 삼각티백: 페퍼민트차 10티백,갠춘하네요 안먹엉ㅅ ㅠㅠㅠ,0,#
7,19.03.16.,1,"해피테라스 삼각티백: 계피차 10티백
유통기한아주 넉넉해요포장꼼꼼해요","맛없어요~~~생각보다 연하네요
다른곳보다 비싸길래 좋을 줄 알았는뎨
반값 준곳보다 맛이 없음",0,
8,19.03.16.,1,"해피테라스 삼각티백: 로즈마리차 10티백
유통기한꽤 남았어요포장적당해요","맛없어요~~~생각보다 연하네요
다른곳보다 비싸길래 좋을 줄 알았는뎨
반값 준곳보다 맛이 없음",0,
9,22.10.21.,2,해피테라스 삼각티백: 오미자차 10티백,여러가지 맛 시켰는데 오미자차 기대했지만 색깔도 많이 연하고 밍밍했어요.. 물 양을 적게 해서 우려드시길 추천해요,0,
10,22.06.23.,2,해피테라스 삼각티백: 레몬밤차 10티백,너무 써서 물 많이 부어서 먹고 있어요,0,
11,22.06.22.,2,해피테라스 삼각티백: 캐모마일차 10티백,써서 물 많이 타서 먹고 있어요,0,
12,22.04.11.,2,해피테라스 삼각티백: 카카오닙스차 10티백,"무슨 맛인지 모르겠어요.
뜨거운 물에도 잘 안우러나와서 ㅠㅠ 그냥 무맛이에요.
다른 건 다 만족하는데 카카오닙스는 정말 별로에여.",0,
13,21.06.20.,2,해피테라스 삼각티백: 오미자차 10티백,양이 적은지 맹물 마시는 느낌이에요,0,
14,20.10.18.,2,해피테라스 삼각티백: 당귀차 10티백,"당귀... 몸이 좋다고 해서 사봤는데 진짜 그냥 한약냄새, 한약맛ㅠㅠ 다음번에는 다른 거 사보려구요... 맛 이외에 포장이나 배송은 다 좋았어요",0,
15,20.10.08.,2,해피테라스 삼각티백: 모과차 10티백,"전부 1g씩이라 생각보다 너무 양이 작네요...
허브티는 괜찮은데, 전통차?는 일반 머그컵에 마실 경우 2개씩 넣어야 했어요ㅠㅠ양이 작아서 2분 기다리라고 하는데 5분~10분 넘게 기다려야 겨우 우러나요. 싸고 종류도 많고 양이 많아 좋다 생각했는데 오미자나 모과차 등 몇 가지는 다시 구매할 일은 없을 것 같아요",0,
16,20.04.26.,2,해피테라스 삼각티백: 카카오닙스차 10티백,카카오닙스가 딱딱해서 그런지 잘 우러나질 않아요ㅠ,0,
17,20.04.24.,2,해피테라스 삼각티백: 생강차 10티백,"생강청먹다가 생강차 구입해봤는데...
제입엔 안맞네요 ㅠ .. 약간 국화차 같은맛도 나고 ㅎㅎ
호박팥차 맛있어요!",0,
18,20.04.21.,2,해피테라스 삼각티백: 계피차 10티백,맛이 잘안나요 ... 아쉽습니다,0,
19,20.04.02.,2,해피테라스 삼각티백: 허니부쉬차 10티백,향이 연해서 아쉬워요,0,
20,20.04.02.,2,해피테라스 삼각티백: 얼그레이 10티백,향이 너무 연해서 아쉬워요,0,
21,20.02.20.,2,해피테라스 삼각티백: 보이차 10티백,받아본것중 보이차가 제일 실망이었어요 흙냄새가 난다 해야하다 암튼 좋은향은 아니네요 보이차를 제일 기대하고 있었는데 ㅠㅠ,0,
22,20.01.19.,2,해피테라스 삼각티백: 녹차 10티백,녹차향도 없고 맛도 안나요,0,
23,23.03.11.,3,"해피테라스 삼각티백: 작두콩차 10티백
유통기한꽤 남았어요포장적당해요편리그냥그래요",종류가 많아 골라먹기 좋아요,1,
24,23.03.11.,3,"해피테라스 삼각티백: 돼지감자차 10티백
유통기한꽤 남았어요포장적당해요편리그냥그래요",종류가 많아 골라먹기 좋아요,1,
25,23.03.11.,3,"해피테라스 삼각티백: 루이보스티 10티백
유통기한꽤 남았어요포장적당해요편리그냥그래요",종류가 많아 골라먹기 좋아요,1,
26,23.03.11.,3,"해피테라스 삼각티백: 당귀차 10티백
유통기한꽤 남았어요포장적당해요편리그냥그래요",종류가 많아 골라먹기 좋아요,1,
