,기입날짜,별점,옵션,후기,sentiment,
0,23.03.03.,1,모델: 에어팟 프로/프로2 / 옵션: 프로14-닌텐도,진짜 이상함 정말 최악 별루입니다. 사이즈가 안맞음,0,
1,23.02.18.,1,모델: 에어팟 프로/프로2 / 옵션: 프로16-카메라블루,빡빡하고 위아래 이도 잘 안맞네요,0,
2,23.01.31.,1,모델: 에어팟 프로/프로2 / 옵션: 프로18-핑크 냥이,하나도 안맞네요 ㅋㅋ 돈날렸네잉,0,
3,23.01.16.,1,모델: 에어팟 프로/프로2 / 옵션: 프로84-스카이(프로2),"다른 케이스는 깨끗한 걸로 왔는데 하나는 뭐가
묻은거지 지워지지도 않네요....분명히 보이는 곳에 묻은건데 그냥 보내신거 같아요...",0,
4,23.01.07.,1,모델: 1.NEW 에어팟3세대 / 옵션: 21-마리오,두개가 왔는데 하나는 아예 안맞고 하나만 잘 맞네요,0,
5,23.01.07.,1,모델: 에어팟 프로/프로2 / 옵션: 프로06-상어,"2개 사면 4개 오는줄 알았는데 2개 밖에
안왔어요ㅠ",0,
6,23.01.07.,1,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,2개 사면 4개 주는거 아닌가요? 2개만 왔어요,0,
7,22.12.09.,1,모델: 에어팟 프로/프로2 / 옵션: 프로31-카이카이키키,"에어팟프로2  사서 기스날까봐 기다렸는데
마감이 좋지않아 유격이 생겨요.
우선 그냥 쓰려구요.
다음엔 잘 검수해서 보내주세요..",0,
8,22.11.25.,1,모델: 에어팟 프로/프로2 / 옵션: 프로16-에그토스트,완전 싸구려고 사지마세여~ 별로입니당~ 돈 아까워용~!,0,
9,22.11.25.,1,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,"고리는 로즈골드로주문했는데
다른색깔로오고 인터넷주문 제대로확인
안하시나요 그렇다고 물건이 잘못갔다고
애기도없고 혹시 고객이랑 장난하자는건지
그냥 물건받아라이거에요 지금",0,
10,22.11.02.,1,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,"타오바오에서 직구하기 귀찮아서 구매하기는 했지만, 퀄리티가 생각보다 너무 합니다…",0,
11,22.10.30.,1,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,"사지마세요 사이즈도 안맞고, 뒤틀려져있어서 그냥 버리는게 나아요. 절대 비추입니다",0,
12,22.09.22.,1,모델: 1.NEW 에어팟3세대 / 옵션: 45-비숑인형,"본품은 받자마자 털빠지고 
사은품으로 온 애는 안에 곰팡이 피어있어서 처분했습니다 ㅠㅠ",0,
13,22.09.17.,1,모델: 1.NEW 에어팟3세대 / 옵션: 24-세일러문 얼굴,별로에요... 냄새 너무 심해요,0,
14,22.09.03.,1,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,"검수를 안 하시나요, 아니면 제가 운이 너무너무 나쁜건가요.",0,
15,22.08.05.,1,모델: 1.NEW 에어팟3세대 / 옵션: 47-미러베어 블랙,생각보다 별로에요.. 사진응 날라갔지만 사은품으로 온 제품은 그냥.. 초등학생이들도 안 쓸거 같습니다…,0,
16,22.07.06.,1,모델: 1.NEW 에어팟3세대 / 옵션: 43-베어베어+키링,검수 안하고 보내시는거같네요 케이스에 얼룩이 묻어있는데 지워지지고 않고 그냥 아쉬운대로 쓰렵니다,0,
17,22.06.16.,1,모델: 1.NEW 에어팟3세대 / 옵션: 40-쿠로미,케이스가 많이 작던데 ㅠㅠ 이거 에어팟 케이스 맞을까요 .. 아닌 것 같아용 ㅠㅠ,0,
18,22.06.09.,1,모델: 1.NEW 에어팟3세대 / 옵션: 52-날아라시바+키링,"정말 어지간하면 리뷰 좋게 달아주는데
케이스 상부 걸핏하면 벗겨져서 한번 열때마다 다시 꾹꾹 눌러줘야하고
철가루 방지 스티커 조금이라도 잘못 맞추면 유닛에 기스 나는거
안내도 없네 ㅋㅋㅋ 덕분에 처음으로 산 비싼 에어팟 양쪽 유닛에 기스 제대로 냈습니다",0,
19,22.04.07.,1,모델: 1.NEW 에어팟3세대 / 옵션: 06-아따공룡,"별로네요....
다른제품 으로 사서 현재사용중",0,
20,22.03.21.,1,모델: 1.NEW 에어팟3세대 / 옵션: 69-네이비,"사이즈가 잘 안맞아요. 조금 작고, 뚜껑과 몸체가 뜹니다.",0,
21,22.02.28.,1,모델: 1.NEW 에어팟3세대 / 옵션: 54-미러베어 화이트,싸이즈 안 맞아서 케이스에 스크래치만 생기도 겨우 뺐습니다,0,
22,22.02.22.,1,모델: 1.NEW 에어팟3세대 / 옵션: 03-감귤꼬꼬,흡집이나 얼룩이 있어요..하얀색부분이라 더 티나는듯,0,
23,22.02.15.,1,모델: 1.NEW 에어팟3세대 / 옵션: 53-미러베어 블랙,고정 테이프도 없고 열면 벗겨지고 돈버렸어요,0,
24,22.02.10.,1,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,"눈쪽이 뚫려있네요
이게 떨어지면 어떻게 색칠이라도 해서 사용해야하는건가요?
너무 귀여운데 눈이 뚫려서와서 속상하네요",0,
25,22.02.07.,1,모델: 1.NEW 에어팟3세대 / 옵션: 01-감귤꼬꼬,오염되서 왔어요 귀찮아서,0,
26,22.02.04.,1,모델: 1.NEW 에어팟3세대 / 옵션: 63-그린,에어팟 케이스가 작고 맞지 않아요 환불하려다 택배 늦게 확인해서 기간 놓쳐서 못했네요,0,
27,22.02.03.,1,모델: 1.NEW 에어팟3세대 / 옵션: 47-쿠로미,"3세대 인데 사이즈가 딱 안맞아요 - -...
하 진짜.. 2개 사면 3개 준다 해서 그러려니 하는데.. 
무슨 탈모 인형도 아니고...ㅠㅠㅠ

세상 너무하네요",0,
28,22.01.25.,1,모델: 1.NEW 에어팟3세대 / 옵션: 66-블랙,에어팟3세대 블랙 케이스 뚜껑 부분이 비뚤빼뚤하고 사이즈도 맞지 않아 사용하지 못할 것 같습니다. 많이 기대한 만큼 이 부분은 참 아쉽네요.,0,
29,22.01.22.,1,모델: 1.NEW 에어팟3세대 / 옵션: 12-시바몸통,이음새도 안 맞고 철가루 방지 스티커 흰색은 흰색이 아니네요. 은색하고 흰색을 섞어놓은 탁한 색입니다.,0,
30,22.01.21.,1,모델: 1.NEW 에어팟3세대 / 옵션: 30-아보카도,"배송빠른데
무언가 부족
가격대비?",0,
31,21.12.30.,1,모델: 1.NEW 에어팟3세대 / 옵션: 54-미러베어 화이트,뚜껑이 고정이 안돼서 계속 빠져가지고 새로운 상품으로 받았는데도 똑같네요 ㅋㅋㅋ 그냥 상품 문제인듯 진짜 돈아깝습니다,0,
32,21.12.28.,1,모델: 1.NEW 에어팟3세대 / 옵션: 65-퍼플,잘안맞아요…다시 살거예요,0,
33,21.12.23.,1,모델: 1.NEW 에어팟3세대 / 옵션: 22-잠만보,"앞에 사진 첨부해서
써놨어요
다들 양품 걸 리길  기도하세요",0,
34,21.12.23.,1,모델: 1.NEW 에어팟3세대 / 옵션: 31-카이카이키키,"스크래치있고
오염있는 상품을 보내셨네요
사진보다 실제로  더  심합니다
뭐가  묻은건  아닌지 한참  문질러서
흐려진게  저 정도예요
상품설명에 스크래치  오염으로  반품 안 
된다고  써  놓으셨네요
입씨름하기  싫어서  그냥 둘게요
근데. . .
저라면 이런 상품은 안 팔거  같아요",0,
35,21.12.05.,1,모델: 1.NEW 에어팟3세대 / 옵션: 61-레몬,상품이 불량인건지 싼게 비지떡인지 다른 리뷰 써주신분들과 마찬가지로 실리콘 케이스가 너무 안맞아요ㅠㅠㅠ,0,
36,21.12.01.,1,모델: 1.NEW 에어팟3세대 / 옵션: 37-네모푸,네모푸 샀는데 지저분하고 오염도 많아요... 노란색 얼룩덜룩ㅠ 사진보다 훨씬 저렴해보여요.. 게다가 동그란부분은 균일하게 만들어지지 않아서 찢어질거같아요.. 첨엔 좀 어두워보여서 뭐가 묻었나 했는데 그게아니라 그부분만 얇아서 반투명해서 뒤에가 보이는거였음요ㅎㅎㅎ,0,
37,21.11.30.,1,모델: 1.NEW 에어팟3세대 / 옵션: 55-블랙,택배 연락도 안주고 느리고요 케이스 안껴져요 가장 눌러서 낀게 저정도 틈 남네요 쓰다보니 미끄러짐 철가루 방지스티커 규격 잘 안맞음 걍 엘라고 가서 사세요 이런 싼것에서 사지 마시고,0,
38,21.11.30.,1,모델: 1.NEW 에어팟3세대 / 옵션: 37-퍼플,이건 불량인거 같은데 최소한 싸이즈는 맞아야하는거 아닌가?,0,
39,21.11.29.,1,모델: 1.NEW 에어팟3세대 / 옵션: 35-핑크,케이스가 안맞아요;; 세게 누르다가 망가질뻔 했네요.. 세게눌러서 낀게 저정도고  틈이 있어서 먼지도 잘들어가요..,0,
40,21.11.26.,1,모델: 1.NEW 에어팟3세대 / 옵션: 16-버섯,실리콘 케이스는 맞지도 않아요 이건 불량을 돈 받고 파는거랑 다른게 뭐죠? 양심이 있으신가요;;;,0,
41,21.11.25.,1,모델: 1.NEW 에어팟3세대 / 옵션: 43-클리어젤리tpu+키링,"배송은 빠른데 상단케이스가 안맞아요,, 자꾸 붕떠서 벗겨져버리네요ㅠㅠ 일체형으로 구매할껄 후회중입니다...",0,
42,21.11.24.,1,모델: 1.NEW 에어팟3세대 / 옵션: 37-퍼플,실리콘이 이렇게 씌워지면 안 샀죠 ;; 일반 실리콘 사실분들은 이거 꼭 보고 사세요 제발… 반품할려다가 택배비를 2500원이나 내라 해서 그럼 남는게 없길래 그냥 쓰레기통에 버릴렵니다 ㅋㅋ 솔직히 이건 상품불량에 포함되는거 아닌가요? ㅋㅋ,0,
43,21.11.23.,1,모델: 1.NEW 에어팟3세대 / 옵션: 31-반투명,"철가루방지스티커, 실리콘 케이스 모두 다 사이즈 안 맞아요 스티커는 사진 보시면 아실테고 실리콘 케이스 뚜껑 부분이 에어팟 보다 너무 작아서 아무리 땡겨서 끼워도 안 맞아요 계속 힘 주면 에어팟 망가질 거 같아서 그먕 다른데서 새로 사려구요ㅠ",0,
44,23.04.03.,2,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,돈낭비 같아요 다시는 안 삽니다ㅠㅠㅠ 너무 딱딱하고 많이 주신다길래 두개나 샀는데 귀여운 건 최고일지라도 잘 안 벗겨져서 불편해요,0,
45,23.03.28.,2,모델: 에어팟 프로/프로2 / 옵션: 프로02-아따공룡,뚜껑이랑 너무 잘 분리되오ㅠㅠㅠ 그게 제일 아쉬운 단점에 안좋은 부분이라 별 두개요ㅠ,0,
46,23.03.02.,2,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,충전기는 꼽혀야 쓰죠 ㅠㅜ 케이스 끼워두면 충전기 안꼽혀요ㅋㅋㅋ… 주의하세요 충전시 뺐다 끼웠다 해야해요 .. 귀엽긴 합니다,0,
47,23.01.26.,2,모델: 에어팟 프로/프로2 / 옵션: 프로21-쿼카 화이트,뚜껑 부분이 고정이 안되고 쉽게 빠지네요.,0,
48,23.01.18.,2,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,잘 안 빠져요 그래도 디자인은 귀여워요,0,
49,23.01.18.,2,모델: 에어팟 프로/프로2 / 옵션: 프로07-힙합비둘기,케이스 끼우면 잘 안 빠지네요,0,
50,23.01.11.,2,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,"디자인만 딱 그만큼이고
나머지는 아닌 것 같습니다.
충전상태 램프도 안보여서
많이 불편하고.
너무 두껍고 
부드러움도 별로이고 
불필요하게 너무 크고
다른 것으로 다시 구입을 해야 할 것
같습니다.",0,
51,22.12.27.,2,모델: 에어팟 프로/프로2 / 옵션: 프로21-쿼카 화이트,"좀 쓰니까 테두리가 벗겨지네요.
뚜껑도 자꾸 벗겨집니다",0,
52,22.12.21.,2,모델: 에어팟 프로/프로2 / 옵션: 프로84-스카이(프로2),제가 프로1을 프로2로 잘못시켜서 그냥 쓰랴고요.. 근데 파란색 케이스는 밑부분이 깔끔하지않고 막 오돌토돌하게 나와있고요 서비스로 주신 케이스는 아무리 하자가 있는걸 주셔도.. 반투명케이스인데 위에 이물질이 들어간 케이스를 주셔서 이물질이 너무 잘 보여요.. 참고로 이물질은 밖에 나와있는게 아니라 케이스 고무 안에 있는겁니다 아무튼 그게 좀 아쉽네요,0,
53,22.12.09.,2,모델: 에어팟 프로/프로2 / 옵션: 프로62-투명젤리케이스 + 키링,그냥 그래요....,0,
54,22.12.08.,2,모델: 에어팟 프로/프로2 / 옵션: 프로60-블루베어+키링,같이 온 사은품 철가루방지스티커는 스티커 내부가 뜯어져서 하자있고 오리캐릭터는 아다리가 안맞아서 들어가지도 않고 억지로 넣었다가 뺄 때 내 에어팟 부셔질뻔함,0,
55,22.11.16.,2,모델: 에어팟 프로/프로2 / 옵션: 프로59-초코베어+키링,뚜껑이 잘 안 맞아요 ㅠㅠ 계속 벗겨져요 ㅠㅠㅠ,0,
56,22.10.27.,2,모델: 1.NEW 에어팟3세대 / 옵션: 61-캔디화이트,아무리 닦아도 빠지지 않는 화학 약품 냄새에.. 케이스마저 안빠져서 좀 고생했습니다 ㅠ,0,
57,22.10.10.,2,모델: 1.NEW 에어팟3세대 / 옵션: 61-캔디화이트,배송이 너무 느렸어요..,0,
58,22.10.04.,2,모델: 1.NEW 에어팟3세대 / 옵션: 03-감귤꼬꼬,실물이 너무 귀엽긴 한데 싼마이라 그런지 마감도 별로고 오염도 있네요... 반품 귀찮아서 그냥 씁니다 ㅠㅠ,0,
59,22.09.19.,2,모델: 1.NEW 에어팟3세대 / 옵션: 18-미니언즈,케이스 마감이 안좋네요 퀄리티가 너무안좋네요,0,
60,22.09.17.,2,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,이렇게 더러운거 주실거면 사은품 안주셔도 되요.. 기존 제품을 더 신경써서 주세요..,0,
61,22.03.28.,2,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,검품은 잘 안하는지 어느정도 오염이 있는 제품이 왔습니다. 어차피 오염 될테니 신경안쓰시는 분들은 편하게 사셔도 됩니다,0,
62,22.03.21.,2,모델: 1.NEW 에어팟3세대 / 옵션: 30-아보카도,"아보카도 케이스를 샀는데 케이스가 에어팟을 지켜준다는 느낌을 못 받음  모서리 부분과 윗변들이 붕 떠있어 그런 거 같다 색도 약간 진하다 
사진을 보면  기둥이 세 개 있는데 저게 에어팟을 충격에 보호해 주는 것 같은데 막상 껴보면 기둥에 다른 부분은 두께가 너무 얇아 충격에 약할 것 같다 외관상 귀엽고 들고다니기에는 좋으나 자주 떨어트리면 추천하지 않는다",0,
63,22.03.19.,2,모델: 1.NEW 에어팟3세대 / 옵션: 65-네이비,음 … 아무리 잘 넣어봐도 딱 안맞네요,0,
64,22.03.03.,2,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,진짜 일주일 사용하고 너무 더러워져서 사은품으로 온 케이스로 바꿔꼈어요.. 사은품으로 온 케이스는 엄청 헐렁헐렁하네요,0,
65,22.03.01.,2,모델: 1.NEW 에어팟3세대 / 옵션: 53-미러베어 블랙,너무 잘 벗겨져서 별로에요,0,
66,22.02.26.,2,모델: 1.NEW 에어팟3세대 / 옵션: 77-옐로우오렌지,케이스는 만족했습니당 다만 철가루방지스티커가 실망스럽네요 색깔도 흰색이 아니고 회색빛을 띠고 스티커 사이즈가 조금 작네요,0,
67,22.02.24.,2,모델: 1.NEW 에어팟3세대 / 옵션: 67-캔디화이트,"윗 뚜껑이 자꾸 벗겨져요~
붙여서 써야하나요? 털도 빠지고.. 별로네요",0,
68,22.02.24.,2,모델: 1.NEW 에어팟3세대 / 옵션: 50-푸들인형,"털이 많이 빠지고 윗 뚜껑이 자꾸 빠져요ㅠ
얼마 못하고 버릴거 같아요..
반품 귀찮아서 그냥 씁니다..ㅠㅠ",0,
69,22.02.04.,2,모델: 1.NEW 에어팟3세대 / 옵션: 39-미키옷,이쁘긴한데..재질이 얇아요.,0,
70,22.01.25.,2,모델: 1.NEW 에어팟3세대 / 옵션: 20-미니언즈,질이 조금 안좋네요,0,
71,22.01.24.,2,모델: 1.NEW 에어팟3세대 / 옵션: 19-비모,카카오프랜즈꺼 다시샀어요..,0,
72,22.01.20.,2,모델: 1.NEW 에어팟3세대 / 옵션: 01-감귤꼬꼬,엘라고를 사고싶었는데 꼬꼬가 너무 귀엽다고 사길바래서 딸아이도 좋아할것 같아서 샀어요 뚜껑 속안에 본드같은게 굳어있었는데 엄청 딱딱해서 그대로 에어팟을 넣어면 백퍼센트 기스나기때문에 힘겹게 제거하였고 사진쩌럼 사이즈가 맞지를 않아요 후기에 귀엽다는 글이 많았는데 정말 귀여워요 딸아이도 귀엽다고 좋아해서 별하나 남편맘에 들어서 별하나 총 별두개입니다 이걸 사실분을 위한 저의 리뷰는 꼬꼬 케이스를 끼우면 원래의 에어팟의 컴팩드함과 가벼운 무게는 느낄수 없게 됩니다  대신 귀여움이 있어요 마감이 딱 가격 만큼입니다 철방스티커는 화이트를 구매하였지만 실버인지 그레이인지 알수없는 그 중간쯤의 색입니다 이또한 유격이 맞지않으나 이어폰이 케이스로 잘  넣어다 빼져요,0,
73,22.01.14.,2,모델: 1.NEW 에어팟3세대 / 옵션: 31-카이카이키키,배송은 빠른데 케이스랑 에어팟이랑 헐렁해서 못씀,0,
74,22.01.11.,2,모델: 1.NEW 에어팟3세대 / 옵션: 62-밀크티,배송은 빠른데 그냥그래여....,0,
75,22.01.10.,2,모델: 1.NEW 에어팟3세대 / 옵션: 53-미러베어 블랙,고정도 안되고 별로예요,0,
76,22.01.05.,2,모델: 1.NEW 에어팟3세대 / 옵션: 51-비숑인형,예쁜데 털이 엄청 빠져요….. ㅠㅠㅠ 그래서 다른거 사용하고 있어요,0,
77,21.12.30.,2,모델: 1.NEW 에어팟3세대 / 옵션: 12-시바몸통,배송이 3일이나 걸였네요…,0,
78,21.12.29.,2,모델: 1.NEW 에어팟3세대 / 옵션: 81-핑크스카이,택배도 생각보다 느렸고 케이스가 하드케이스인데 잘 안 끼워져서 새 에어팟케이스에 스크래치만 났네요 전 별로인듯요,0,
79,21.12.26.,2,모델: 1.NEW 에어팟3세대 / 옵션: 39-미키옷,"아주 얇아야ㅡ.
좀 허접해보이네요",0,
80,21.12.22.,2,모델: 1.NEW 에어팟3세대 / 옵션: 79-퍼플민트,"불빛들어오는 구멍이 안맞아요
걍 싼맛에 사용",0,
81,21.12.22.,2,모델: 1.NEW 에어팟3세대 / 옵션: 55-반투명,"에어팟 불빛들어오는 구멍이 안맞네요
그냥 싼맛에 사용합니다
그거아니면 비추",0,
82,21.12.20.,2,모델: 1.NEW 에어팟3세대 / 옵션: 19-비모,귀여운데 너무 헐렁해서 고정이 안돼요ㅠ,0,
83,21.12.16.,2,모델: 1.NEW 에어팟3세대 / 옵션: 71-캔디화이트,예쁘긴 예쁜데... 실용성이 제로임ㅋㅋㅋ 그야말로 예쁜 쓰레기... 너무 헐거워서 만지때마자 쑥쑥빠짐ㅎㅎ이게 뭐야...ㅠㅠㅠ,0,
84,21.12.15.,2,모델: 1.NEW 에어팟3세대 / 옵션: 04-쿼카 화이트,"그냥 딱 싼 값이에요 
유격도 안맞구 ㅠ 대충 쓰려구요",0,
85,21.12.11.,2,모델: 1.NEW 에어팟3세대 / 옵션: 29-에그토스트,"장점: 배송이 빠름. 아기자기하고 귀여움
단점: 스티커도 그렇고 케이스 자체도 그렇고 에어팟3 새거에 맞춰서 나왔다고 하는데 사실 썩 잘맞진않음. 안에 있는 스크래치나 흔적은 공정 과정에서 생긴거라고는 하지만 썩 기분이 좋지않음. 

최대의단점: 냄새가 너무 심함...하진짜 하루 끼우고 있었는데 에어팟 자체에도 냄새 배여서 하.....그거만 빼면 나름 쓸만한데 구역질 나는 냄새라서 이걸 햇빛에 말려야 하나 어떡해야 하나 고민중입니다",0,
86,21.12.07.,2,모델: 1.NEW 에어팟3세대 / 옵션: 04-시바얼굴,1주일 사용하고 서 부터는 위에 케이스가 자주 빠지네요 ^^;;,0,
87,21.12.06.,2,모델: 1.NEW 에어팟3세대 / 옵션: 06-투슬리스 블랙,디자인이 넘 맘에 들어 샀는데 뚜껑이 자꾸 벗겨져 증정으로 보내준거로 사용하고 있습니다 오히려 증정임 공룡이 딱맞네요,0,
88,21.12.02.,2,모델: 1.NEW 에어팟3세대 / 옵션: 45-화이트,"케이스가 딱 맞지않아요.
정말 난감합니다......",0,
89,21.11.27.,2,모델: 1.NEW 에어팟3세대 / 옵션: 41-네이비,실리콘 샀는데 먼지 오지개 잘붙어여,0,
90,21.11.26.,2,모델: 1.NEW 에어팟3세대 / 옵션: 40-카키,"감사합니다, 잘받았습니다.",1,
91,21.11.24.,2,모델: 1.NEW 에어팟3세대 / 옵션: 38-밀크티,아무리 몇천원짜리라도 이게 맞나요...? 에어팟3 이번에 사서 급해서 그냥 끼지만 가위로 대충 잘라논 것 같네요...간격도 안 맞고 너무 실망했어요.. 철가루방지 스티커는 괜찮아요,0,
92,21.11.23.,2,모델: 1.NEW 에어팟3세대 / 옵션: 05-시바몸통,"규격도 안맞고, 싼데 이유가 있네요~~~",0,
93,21.11.19.,2,모델: 1.NEW 에어팟3세대 / 옵션: 3세대11-클리어젤리케이스+키링,에어팟 뚜껑이 꽉안맞아서 자꾸 벗겨짐ㅡㅡ,0,
94,23.04.03.,3,모델: 에어팟 프로/프로2 / 옵션: 프로20-고양이발 핑크,"핑크핑크 
귀여워요 ㅋㅋ",1,
95,23.03.17.,3,모델: 에어팟 프로/프로2 / 옵션: 프로21-세일러문 마법봉,잘받았엉어요 잘쓸게요 감사합니다 ㅁ낳이파세요,1,
96,23.03.17.,3,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,잘받았엉어요 잘쓸게요 감사합니다 ㅁ낳이파세요,1,
97,23.03.14.,3,모델: 에어팟 프로/프로2 / 옵션: 프로04-시바몸통,"저렴하긴 한데, 먼지가 너무 달라붙고 두껑쪽이 계속 빠져서 결국 쓰다가 빼버렸어요,,,,",0,
98,23.03.06.,3,모델: 에어팟 프로/프로2 / 옵션: 프로25-블루베어+키링,"아무래도 저렴하다보니 딱 그정도입니당,,",0,
99,23.02.21.,3,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,귀엽고 저렴한 가격에 잘 삿어요,1,
100,23.02.15.,3,모델: 에어팟 프로/프로2 / 옵션: 프로54-까칠한삐약이,잘포장되서 왔어요귀여워요,1,
101,23.02.02.,3,모델: 에어팟 프로/프로2 / 옵션: 프로06-상어,상품 가격과 맞는 품질인거같아요,1,#
