,기입날짜,별점,옵션,후기
0,23.01.08.,1,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리그냥그래요",재구매해서 먹는데 처음과 칡즙이 많이 달라요.처음에 걸죽하고 맛도 좋았는데 두번째는 다른것 많이 섞인듯 찱즙이 묽고 맛도 쓴맛이 강하고 물탄듯한느낌(실제로는물안탔습)
1,22.12.30.,3,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리그냥그래요",그런대로 맛이 괜찮아요
2,22.12.09.,3,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리그냥그래요","칡즙이 왜 얼어서 왔나요? 냉동 얼렷다가 잠깐 녹여 보내주셧나요? 얼리고나서 녹으면 맛이 그만큼 없는데..녹이느라 반정도는 밖에 두엇습니다;;
배송과 토마토즙 2개서비스는 좋습니다"
3,22.10.06.,3,"칡즙: 30포
유통기한꽤 남았어요포장적당해요편리그냥그래요",칡즙이 에스트로겐이 많이 들어서 갱년기에  좋다고 주문했어요.효과 있었으면 좋겠어요
4,22.09.04.,3,"칡즙: 30포
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요","선물용이라서 유통기한이 잘 찍혀있는 상품 출고 요청드렸는데 반이상은 날짜 구분이 어렵네요.
유통기한 찍으실때 좀 신경써주세요.
제꺼 구매할때도 그래서 전 매직으로 하나하나 다 썼어요.
매일 먹는 용도가 아니다보니 유통기한이 중요하거든요.
포장은 이중으로 해주셔서 터지지 않고 안전하게 잘 오네요^^
파우치가 날카로워서 조심스러워요.
맛은 가루가 많지만 진하고 맛있어요."
5,20.10.05.,3,"칡즙: 50포
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",암칡이라 그런지 몰라도 이전에 먹던거보다 더 텁텁해요
6,23.04.19.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리편리해요",배송빠르고 두번째구매입니다 암칡이라 먹기편하고 맛도달고 맛있어요
7,23.04.15.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",맛도좋고 품질도좋고 지인들도 다들어디서구매했냐구해서 공유했습니다 저도 장바구니에 또 탐아놨구여
8,23.04.08.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리그냥그래요",많이 쓰지 않고 암칡이라니 믿고 먹어보렵니다.
9,23.03.12.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리그냥그래요",잘 먹고 있습니다. 효과 기대합니다.
10,23.03.03.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요","어제 도착해서 먹어봤는데.. 진하네요.. 건강해지는 느낌입니다. ^^
복용후 효과있다면 재구매 예정입니다."
11,23.02.18.,4,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",양이좀 적은거 같아요.  단맛이있어 마시기 좋아요
12,23.02.17.,4,"칡즙: 30포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",오랜만에 재구매했는데 여전히 진하고 맛있네요!
13,23.02.17.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리편리해요",두번째구매입니다 진하고 건더기도있고 먹기편해요
14,23.02.15.,4,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요","생리 불순에 효과 있어요
작년 가을에 먹고 효과 있어서 이번에 재구매합니다
몇일 먹었더니 다시 효과 봤어요"
15,23.02.11.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요","진하고 좋아요.
여름에도 같은 맛일까요"
16,23.02.10.,4,"칡즙: 실크보자기 포장(50포)
유통기한꽤 남았어요포장적당해요편리편리해요",지인에게 선물로드렸는데  갱년기라 너무 좋아하시네요.
17,23.02.01.,4,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",어릴때 씹어먹던 칡맛과 가장비슷한 맛입니다 여기저기 먹어봤는데 여기가 최고네요  이맛변치않았으면  합니다
18,23.01.30.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장적당해요편리편리해요",맛있습니다. 보내주신 사은품도 고맙습니다.
19,23.01.28.,4,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",선물하기 좋은 제품입니다.
20,23.01.27.,4,"칡즙: 50포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",두 번째 주문인데 첫 번째보다 좀 싱겁네요. 물을 좀 더 탄 듯.... 소비자 입맛은 귀신입니다. 세 번째 주문은 고민 중...
21,23.01.06.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리그냥그래요",얼어서 왔어요. 얼었다 녹은것은 식감이 좋지 않아요.
22,22.12.30.,4,"칡즙: 30포(일반포장)
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",맛도좋고 포장도 깔끔하네요
23,22.12.21.,4,"칡즙: 50포(일반포장)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요","칡즙을 많이 먹어보진 않아서 맛을 잘 알진 못하지만 맛은 달달하면서 너무 맛있더라구요
포장도 하나 터지지 않게 신경 많이 써주신점 감동이였어요~ 다 먹고 또 시켜 먹을 생각입니다~~ 편지 내용 처럼 내 가족이 먹는다는 생각으로 만들어 주세용"
24,22.11.26.,4,"칡즙: 30포
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",엄마 사드렷는데 맛있다네요
25,22.10.31.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리그냥그래요","칡즙이 아주 직접 내려 먹는것 처럼 맛있습니다
매일아침 하나씩 챙겨먹으려고요
토마토 하나 칡즙하나로 아침 시작합니다"
26,22.10.29.,4,"칡즙: 50포
유통기한아주 넉넉해요포장적당해요편리그냥그래요","배송이 빠르네요.
몇개 먹어보니 진하고 건강해지는 느낌입니다.."
27,22.10.22.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리편리해요",부모님께 보내들였는데 암칡이라 진하고 맛도괜찮으시다하네요
28,22.10.19.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리그냥그래요",늘 먹는 제품입니다.
29,22.09.17.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리그냥그래요",자주 구매합니다. 먹을만 해요.
30,22.08.30.,4,"칡즙: 30포
유통기한아주 넉넉해요포장꼼꼼해요편리그냥그래요","평이 좋아서 구매했어요
기대되네요^^"
31,22.08.15.,4,"칡즙: 50포
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",맛이 약간 연하네요ㅎㅎㅎ그래도 믿고 먹어볼게요!
32,22.07.06.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리그냥그래요",꾸준히 먹고 있습니다.
33,22.06.29.,4,"칡즙: 50포
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",일년에 한번씩 꼭꼭 챙겨 먹어요
34,22.06.21.,4,"칡즙: 30포
유통기한꽤 남았어요포장적당해요편리편리해요",배송빠르게 잘 받았습니다.
35,22.05.31.,4,"칡즙: 50포
유통기한꽤 남았어요포장꼼꼼해요편리그냥그래요",갱년기 개선용으로 먹고 있어요.
36,22.04.26.,4,"칡즙: 50포
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",매일 먹는 제품입니다. 갱년기쟝애에 좋습니다.
37,22.04.19.,4,"칡즙: 30포
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요","가루 침전물이 많긴 한데 진하고 맛있어요.
유통기한이 찍혀있는게 있고.. 안찍혀 있는게 더 많은게 아쉽네요.
매일 먹을게 아니라서 매직으로 일일이 써놓았어요.
맛은 좋아서 선물하려고 다시 주문했어요.
이번에는 유통기한 잘 찍힌 제품 보내주세요^^"
38,22.04.06.,4,"칡즙: 50포
유통기한꽤 남았어요포장꼼꼼해요편리그냥그래요",맛있어요. 자주 구매합니다.
39,22.03.30.,4,"칡즙: 50포
유통기한꽤 남았어요포장적당해요편리편리해요",지인 소개로 처음 먹어보는데 목넘김도 좋고 먹을만 해요.
40,22.02.26.,4,"칡즙: 30포
유통기한꽤 남았어요포장적당해요편리편리해요","와이프 주려고 구매 했는데 저도 같이 먹고
생칡즙 그대로 맛도 좋습니다"
