,기입날짜,별점,옵션,후기,sentiment,
0,23.02.25.,1,모델: 프로/프로2 / 옵션: 프로01-마샬,냄새가  넘 나네요  아들이  샀는데  냄새땜에  못쓰고  ㅠ 버렸어요,0,
1,23.01.13.,1,모델: 프로/프로2 / 옵션: 프로01-마샬,뚜껑 계속 떨어집니다,0,
2,23.01.07.,1,모델: 프로/프로2 / 옵션: 프로01-마샬,본드지워지지않아요ㅜㅜ,0,
3,22.11.10.,1,모델: 에어팟 1/2세대+카라비너 / 옵션: 02-투슬리스 화이트 캐릭터,"에어팟2세대 케이스를찾다가
갖고다니기 이뻐보여서 샀는대
구매한 케이스가 너무 뻑뻑해요

뻑뻑한경우에 본체 빼는 방법이 있긴하지만
머리부분도 뻑뻑해서 사용하다 에어팟
부니될까봐 한번도 사용 못하고 버렸네요.",0,
4,22.10.19.,1,모델: 에어팟 1/2세대+카라비너 / 옵션: 25-미니언즈,와이프 아이팟 케이스 용도로 잘 쓰고 있습니다.,1,
5,22.05.04.,1,모델: 에어팟 1/2세대 공용 / 옵션: 49-테디도그 브라운,"사이즈도 안 맞고 뚜껑은 휙휙 벗겨지고 마감은 엉망이네요
싼맛에 걍 머리 윗부분 테두리 도려내서 쓰려고 했는데 뚜껑이 날라가니 쓸 수도 없네요
서비스 얹어 주기 보다는 제품 검수 제대로 해서 제대로 된 상품 보내 주시는게 맞을 듯 합니다",0,
6,22.04.23.,1,모델: 에어팟 1/2세대 공용 / 옵션: 17-오리헤드폰,오염이 너무 심하고 찢어짐도 있어요 ㅠㅠㅠ 새건데 중고같아요 ㅠ,0,
7,22.02.20.,1,모델: 에어팟 1/2세대용 / 옵션: 80-투명젤리케이스+키링,주문하기전에 톡으로 말해주면 하나 더주는거 원하는걸로 반영해준다하더니 주문하고나니깐 랜덤이라고 말바꿈 진짜 어이없고 별로,0,
8,22.01.15.,1,모델: 2.에어팟 1/2세대 / 옵션: 02-마샬,"철가루방지 스티커 찢어져서 왔는데 그냥 쓰자 하고 부착하는데 다 끊어져 찢어짐 그래서 그냥 다 때버림 스티커는 진짜 아닌듯 
케이스는 그나마 괜찮은데 공차없이 딱맞아서 뺴기 힘들정도로 딱맞음 
근데 배송도 겁나 느림 출고는 빠른편인거 같은데 받아 보는대까지 오래걸렸음",0,
9,22.01.05.,1,모델: 2.에어팟 1/2세대 / 옵션: 16-엠엔엠즈 옐로우,나무뻑뻑하고 빼려면 기계 고장날거 같음 빼기 힘듬,0,
10,21.11.24.,1,모델: 2.에어팟 1／2세대 / 옵션: 04-닌텐도블루(하드),배송 너무 느려요 ㅡㅡ,0,
11,21.10.02.,1,모델: 2.에어팟 1／2세대 / 옵션: 19-스프라이트＋키링,음..어...이쁘긴해요,1,#
12,21.10.01.,1,모델: 1.에어팟 프로 / 옵션: 프로01-닌텐도스위치,"배송빠름
냄새엄청남.
원가저렴한 중국산 제품임.",0,
13,21.09.18.,1,모델: 2.에어팟 1／2세대 / 옵션: 08-스벅라떼,배송이 느려도 너무 느리네요,0,
14,21.09.14.,1,모델: 1.에어팟 1／2세대 / 옵션: 01-닌텐도스위치,케이스뚜껑이 본체보다 큼ㅜㅜ,0,
15,21.09.06.,1,모델: 1.에어팟 프로 / 옵션: 프로09-인스타,배송일주일 걸렸습니다,0,
16,21.07.15.,1,모델: 2.에어팟 프로 / 옵션: 프로10-스팸,산것중에 제일 별로예요 싼티나고 무겁고 뚜껑자꾸 뒤집어지고 정말 최악이네용,0,
17,21.06.28.,1,모델: 1.에어팟 1／2세대 / 옵션: 24-스팸,완전 무겁고 부피도 커서 들고다니라고 만든 상품이 아님. 심지어 같이 들어있는 고리도 불량. 아무리 싸다지만 이런 물건은 왜 파는건지 돈만 버렸음.,0,
18,21.06.11.,1,모델: 2.에어팟 프로 / 옵션: 프로09-인스타,다른 제품은 모르겠는데 인스타그램 제품은 허술하네요.. 잘 벗겨자고 ㅜ,0,
19,21.06.01.,1,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,마감처리진짜 별로네요,0,
20,21.04.15.,1,모델: 1.에어팟 1／2세대 / 옵션: 26-포카리,"상품 아주개판입니니다
택배두 일주일 참나..",0,
21,21.04.02.,1,모델: 1.에어팟 1／2세대 / 옵션: 08-스벅라떼,"제가 구매한건 스벅라떼 모형인 에어팟케이스인데
이걸로 배송이 잘못왔어요
엄청 기대하고 있었는데 좀 아쉽네요
반품하고 다시 받을까 하다 괜히 제가 더 그게 번거로울거같아 그냥 사용하려고 해요
배송 전에 확인 제대로 하고 보내주세요",0,
22,21.03.20.,1,모델: 1.에어팟 1／2세대 / 옵션: 19-오렌지탄산＋키링,"너무 속상하네요 케이스가 잘 끼워진다고 해도 빼고자 할때는 빠질수 있게끔 만들어 놓으셔야 되는거 아닌가요
안빠져서 작은 가위로 자르느라 에어팟까지 긁혀졌네요
나중에 끼웠던거 빼실때 다들 조심하셔야겠어요ㅜㅜ",0,
23,21.03.16.,1,모델: 2.에어팟 프로 / 옵션: 프로04-이온음료,믿고 거르는 메이드인 차이나 별 1개도 아깝다,0,
24,21.03.16.,1,모델: 2.에어팟 프로 / 옵션: 프로05-국제택배 블랙,믿고 거르는 메이드인 차이나 진짜 돈아까움,0,
25,21.03.02.,1,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,고무에서 냄새가 나서 다른 걸로 바꿨어요,0,
26,21.02.17.,1,,마감 그지 같아요..싼게 비지떡...,0,
27,21.02.12.,1,모델: 2.에어팟 프로 / 옵션: 프로09-인별,"마감처리 완전별로...
같이산 철가루방지 스티커는 다 찢어져서옴 ㅜㅜ",0,
28,21.02.12.,1,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,스위치 색깔이 원본과 반대입니다.,0,
29,21.02.11.,1,모델: 2.에어팟 프로 / 옵션: 프로04-이온음료,역시 메이드인차이나 짱께들 만드는 수준이 최악 제품 퀄리티도 최악,0,
30,21.02.11.,1,모델: 2.에어팟 프로 / 옵션: 프로05-국제택배 블랙,아 젠장 메이드인차이나인줄알았으면 안시키는건데 돈버렸네 퀄리티 완전 구리네,0,
31,21.02.10.,1,모델: 1.에어팟 1／2세대 / 옵션: 23-나뭇잎,케이스 한번 끼웠는데 제대로 끼워지지 않은 감이 들고 케이스 빼려고 하면 잘 빠지지도 않습니다..디자인은 괜찮네요,0,
32,21.02.02.,1,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,"불량이있고 마무리가 깔끔하지 않아요
너무 무거워요",0,
33,21.01.23.,1,모델: 1.에어팟 1／2세대 / 옵션: 06-인별,"모냥만 좋아보이는 쓰레기
두개 구매중윗뚜껑은 헐렁 해서 계속 빠지고 스팸모형은 개무겁고 넣었다 뺄려니 꽉끼어안빠져서 빼다본채 부서질뻔 식겁함 간만에 돈주고 쓰레기를 샀네 싼건 이유가 있다",0,
34,21.01.07.,1,모델: 1.에어팟 1／2세대 / 옵션: 02-스피커,해외배송치고는 빨리왔네요 ㅎ,1,
35,20.12.29.,1,모델: 1.에어팟 1／2세대 / 옵션: 01-게임기,"너무 부실하네요
아무리 끼워맞춰도 모양이 맞지가 않아요
반품하기 귀찮아서 어쩔수 없이 사용할려요 ㅠ
완전 비추입니다",0,
36,20.12.27.,1,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,"아쉬운점
1.윗뚜껑이 너무 흐물흐물해서 잘빠지는구조(가방에넣으면 케이스뚜껑은 실종된채 흰색 대머리 에어팟니 날 반겨줌
2.에어팟프로의 상태LED가 가려져서안보임
충전중인건지 충전은잘되고있는건지 애플에서 보라고만들어준 상태LED램프가 가려져서 안보임

이거말고 돈 좀 더 주시고 좋은거사세오~",0,
37,20.12.25.,1,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,"닌텐도 케이스는 뚜껑부부이 황당하게도 고정도 안되고 그냥 빠지며
사은품으로 주신 강아지는 고맙지만 사이즈도 맞지않아 들어가지 않고
그나마 2+4라고 환타 케이스 안샀으면 어쩔뻔!!!",0,
38,20.12.25.,1,모델: 2.에어팟 프로 / 옵션: 프로22-오렌지탄산＋키링,"닌텐도 케이스는 뚜껑부부이 황당하게도 고정도 안되고 그냥 빠지며
사은품으로 주신 강아지는 고맙지만 사이즈도 맞지않아 들어가지 않고
그나마 2+4라고 환타 케이스 안샀으면 어쩔뻔!!!",0,
39,20.12.21.,1,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,뚜껑부분이 헐렁해서 잘빠짐요,0,
40,20.12.20.,1,모델: 2.에어팟 프로 / 옵션: 프로13-게임기 블랙,케이스는 비싼거로...,0,
41,20.12.20.,1,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,케이스는 비싼거 사세요...제발,0,
42,20.12.12.,1,모델: 1.에어팟 1/2세대 / 옵션: 06-존슨즈로션,최악 얼마쓰지도 못했는데 떼가 심하게 탐... 버려야지,0,
43,20.12.10.,1,모델: 1.에어팟 1／2세대 / 옵션: 24-코카콜라＋키링,와..이거 끼웠다가 안빠져서 생쏘했어요 본체 기스다나고 ㅠㅠ 이건 진짜 비추!!!!,0,
44,20.12.02.,1,모델: 2.에어팟 프로 / 옵션: 프로31-환타＋키링,환타키링 시켰는데 펩시로 와버렷...모르고 구매확정 눌러서...아 지금쫌 화나네요,0,
45,20.11.30.,1,,배송이 너무 늦어요,0,
46,20.11.23.,1,모델: 1.에어팟 1／2세대 / 옵션: 09-스타벅스 라떼,"택배가 엄청 느려요ㅡㅡ 정확히 일주일만에 왔습니다 3일안에 온다고 명시되어있는데 이게 택배사 잘못인지 시국인지 업체 잘못인지 쨌든 미리 명시도 안하고 안내도 안하고 전화, 1:1상담 다 받지도 않고 택배사도 연락도 없고 다음번에 구매의사 없습니다",0,
47,20.11.23.,1,모델: 1.에어팟 1／2세대 / 옵션: 02-마샬엠프,배송이 진짜 더럽게 느려요.. 정확히 일주일만에 왔습니다.. 이게 택배사 잘못이라면 취급하시는 택배사 느린거 아마 민원 받으셨거나 아실텐데 미리 공지라도 하던가 전화도 안받고 1:1문의도 안받습니다 심지어 택배사도 연락도 안되고 오지도 않아요ㅡㅡ 대응에 실망스럽습니다,0,
48,20.11.22.,1,모델: 2.에어팟 프로 / 옵션: 프로09-스팸,스팸 프로케이스 내부가 너무 좁아서 에어팟 넣으면 케이스 외부가 벌어지고 케이스 자체는 너무 크네요. 바로 버렸습니다.,0,
49,20.11.21.,1,모델: 2.에어팟 프로 / 옵션: 프로09-스팸,............,0,#
50,20.11.19.,1,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,"프로 대가리뚜겅
그냥막빠짐",0,
51,20.11.19.,1,모델: 1.에어팟 1／2세대 / 옵션: 03-스팸,별로예요...다뜯어서 반품은 안했지만..다른거 샀어요,0,
52,20.11.10.,1,모델: 2.에어팟 프로 / 옵션: 프로15-포카리스웨트,브랜드제품으로 바로 바꿔버렸네요,0,
53,20.11.09.,1,모델: 1.에어팟 1／2세대 / 옵션: 27-환타＋키링,"어떻게 이렇게 만들었는지....
쑥 집어 넣으면 뚜껑이 안열리고
뚜껑 열리게 위로 빼면 충전을 할수가 없고 참..... 교환처리 귀찮아서 그냥 버릴 랍니다.
사진을 찍고 싶어도 다시 넣었다 뺄수가 없습니다. 넘 뻑뻑해서 다시 시도했다가는 제 비싼 에어팟이 부서질것 같더라구요 ㅠ",0,
54,20.11.07.,1,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,뚜껑이 ㅏㄹ 날아가서 진짜 별로,0,
55,20.10.29.,1,모델: 1.에어팟 1/2세대 / 옵션: 34-원펀맨,노노노 !!!!!!,0,
56,20.10.28.,1,모델: 1.에어팟 1/2세대 / 옵션: 42-배그가방 그린,제가 실수로 잘못 샀지만 별점 1점줬네요 일체형인지 안보고 샀네요 그냥 버리고 다이소가서 살려구요,0,
57,20.10.21.,1,모델: 2.에어팟 프로 / 옵션: 프로02-마샬엠프,크기가 너무 커요 무게가 무거워서 프로를 좀만 기울이면 뚜껑이 자동으로 열림,0,
58,20.10.10.,1,모델: 2.에어팟 프로 / 옵션: 프로22-스프라이트+키링,"월요일오전에 시켜서 토요일 오후 4시 넘어서 받았습니다..ㅋ 아무리 택배사가 바쁘다해도 이건 정도가 지나친거 아닌가요. 똑같은날짜에 아이패드 프로4세대,에어팟 프로 필름 케이스 다 시키고 기다리는데 이것만 더럽게 안오더군요. 그래서 기다리다 기다리다 화나서 에어팟 프로 가죽케이스 주문했는데 그건 또 하루만에 와서 이 케이스 쓸일 없을거같고 박스 열어보니까 꼴랑 이거 받으려고 그 시간을 기다렸다는거에 되게 화가나네요 앞으로 시킬일 없을거같습니다",0,
59,20.10.07.,1,모델: 2.에어팟 프로 / 옵션: 프로05-불독 레드,"마감처리도 아쉽구요
오배송 되서 기다렸는데 이것마져 또 불량품이네요;;0",0,
60,20.10.07.,1,모델: 2.에어팟 프로 / 옵션: 프로12-게임기 화이트,"사이즈도 애매 하고요
누락에 심지어 또 온것도 불량에...
케이스 마감처리도 제대로 안되어있네요",0,
