,기입날짜,별점,옵션,후기
0,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
1,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
2,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
3,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
4,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
5,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
6,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
7,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
8,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
9,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
10,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
11,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
12,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
13,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
14,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
15,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
16,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
17,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
18,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
19,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
20,23.03.08.,3,허브차 선택: 01. 히비스커스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
21,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
22,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
23,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
24,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
25,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
26,23.03.08.,3,허브차 선택: 01. 히비스커스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
27,23.03.08.,3,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
28,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
29,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
30,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
31,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
32,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
33,23.03.08.,3,허브차 선택: 01. 히비스커스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
34,23.03.08.,3,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
35,23.03.08.,3,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
36,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
37,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
38,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
39,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
40,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
41,23.03.08.,3,허브차 선택: 01. 히비스커스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
42,23.03.08.,3,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
43,23.03.08.,3,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
44,23.03.06.,3,허브차 선택: 06.자스민 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 생각보다 먹을만합니다. 
45,23.03.01.,1,허브차 선택: 02. 캐모마일 1.5gx50개입,맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요 허브차에서 석유냄새가 나는 것은 저만 느끼는 건가요?  먹어본 허브차 중에서  최하위입니다.  캐릭터만 예쁘네요 
46,23.03.06.,2,허브차 선택: 04. 페퍼민트 1.5gx50개입,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 저한텐 향과맛이 너무강해 못먹을듯여. 
47,23.03.31.,3,허브차 선택: 06.자스민 / 수량 선택: 50티백,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 자스민향이  진하지 않고 녹차맛이 좀  강하네요 
48,23.03.08.,3,허브차 선택: 05. 로즈마리 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
49,23.03.08.,3,허브차 선택: 03. 루이보스 1.5gx50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 허브 차를 처음 사는 거라 비싼건지 싼건지 모르겠지만 제가 알레르기때문에 카페인 음식은 먹으면 안되서 노카페인 표기된 제품으로 싹다 구매했습니다 
