,기입날짜,별점,옵션,후기
0,23.03.27.,1,"수량: 2박스(100포)
유통기한아주 넉넉해요포장꼼꼼해요편리그냥그래요","기대가 컸던 탓인지 정말 열씨미 먹었으나 효과는 보지못했습니다
제 부종은 호박즙을 마셔서 해결 되지는 않나봐요"
1,23.03.10.,1,"수량: 1박스(50포)
유통기한꽤 남았어요포장꼼꼼해요편리편리해요",여러번 사먹었는데 이번꺼는 끝맛이  써요 ㅠ ㅠ 손이 잘안가서 그대로 있네요.
2,23.03.04.,1,"수량: 1박스(30포)
유통기한꽤 남았어요포장별로예요편리불편해요",부기를  뺄라고  구입해서  먹었는데 더부었어요 ㅠ
3,23.02.11.,1,"수량: 2박스(100포)
유통기한꽤 남았어요포장별로예요편리편리해요","오늘배송 받았는데 출산선물로 주려고 시켰는데 터진걸 보내주시면 어떻게 선물로 주나요...포장좀 신경써주세요
중간부분에서 터진건지 확인도 안되고 스트레스 받네요"
4,23.02.10.,1,"수량: 2박스(100포)
유통기한아주 넉넉해요포장적당해요편리편리해요","배송이 1주일이나 걸렸네요.
일단 배송이 오래 걸려도 아직 배송중이라고 뜨기도 하고 어디까지 왔는지 되어 있길래 기다렸죠 근데 배송 완료인날 집에 왔더니 박스가 없길래 보니까 다시 배송중이라 뜨더군요 기사님께 연락해보니 파손되어 다시 업체쪽으로 회송 되고 있다고 하네요. 다음날 전화 해보니 그제서야 확인 하고 있고요. 그리고 처음 전화 연결이 안되어서 톡에 보내고 답변을 받고 이미 통화연결을 한 후라 제가 상황 설명을 간략하게 드렸더니 감사합니다 라고 상담을 마치는데 이게 맞나요? 배송이 늦어지거나 하면 판매측에서도 이상함을 느끼고 확인 해봐야 하는거 아닌가요? 그리고 회수되는걸 왜 전화하는 그제서야 확인 하는건가요. 톡상담은 사과 한마디 없이 감사합니다가 맞나요?"
5,23.02.09.,1,"수량: 1박스(50포)
유통기한꽤 남았어요포장별로예요편리편리해요",포장상태가 안좋은게 있었는지 이렇게 다 젖어서 왔어요. 터진거 찾아내느라 일일이 확인했는데 납작한거 하나 찾아냈습니다. 반품하고싶지만 더 불편해서 안할게요ㅠㅠ
6,23.02.05.,1,"수량: 1박스(30포)
유통기한꽤 남았어요포장적당해요편리그냥그래요",부기가  잘안빠지고  나랑  안맞은듯요
7,23.01.31.,1,"수량: 2박스(100포)
유통기한꽤 남았어요포장별로예요편리그냥그래요",선물하려고 구매했는대 한박스가 터져서 왔어요
8,23.01.26.,1,"수량: 2박스(100포)
유통기한꽤 남았어요포장적당해요편리편리해요",칼로리가 너무 높아요 ㅠㅠ  밥 한그룻 만큼이니…. ㅠㅠ
9,23.01.04.,1,"수량: 1박스(50포)
유통기한아주 넉넉해요포장별로예요편리편리해요","배송 중에 터졌나봐요
박스가 다 젖어서 찢어진 상태로 왔어요
다른 분들 리뷰 보니까 이런 경우가 종종 있는 것 같은데 포장에 좀 더 신경쓰셔야겠어요"
10,22.12.23.,1,"수량: 50포
유통기한아주 넉넉해요포장별로예요편리편리해요","몇봉지가 터져서 오는 바람에 씻고 골라내느라
고생했어요 
수술 앞두고 산거였는데..
냉장고에 넣어놓고도 하나씩 꺼낼깨마타 터진게 몇개씩 나와서 매우 실망이에요"
11,22.12.06.,1,"수량: 50포
유통기한아주 넉넉해요포장별로예요편리불편해요",속이 터져와서 택배상자와 박스 모두 젖었고 몇십개에 달하는 호박즙을 일일이 다 씻어야 했습니다. 재구매의사는 없습니다
12,22.11.08.,1,"수량: 30포
유통기한꽤 남았어요포장별로예요편리그냥그래요",호박즙 터져서 옴 박스포함 안에 내용물 다 젖어서 끈적거림 하나하나 전부 씻어서 냉장고에 들어감 상당히 불편함 포장상태 별로임
13,22.11.01.,1,"수량: 100포
유통기한꽤 남았어요포장별로예요편리그냥그래요","한번은 이해할려고 했으나 두번째부터는 의문이 듭니다.
 처음 배도라지즙을 시켰을때도 즙 하나가 터져서 겉포장박스까지 다 젖어서 불쾌감을 주더니 이번에 호박즙을 시켰더니 또 터져서 박스를 드는순간 물이 주르륵 흘러서 옷도 젖고 현관청소까지 했네요.
포장은 빈곳없이 꺼낼때도 불편할정도로 딱맞게 포장하셨으면서 왜 자꾸 터지면서 오는지 궁금합니다.
터진 즙이 한두개지만 그 한 두개 값도 버리고
기분은 기분대로 상해서 더 이상 재주문은 없을 것 같네요."
