,기입날짜,별점,옵션,후기
0,23.04.08.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",짜지않고 바삭밧삭 맛있어요
1,23.03.13.,5,"옵션 선택: 3봉(50gx3봉)
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",바싹  바싹  맛나요~~^^
2,23.04.13.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장 정말깔끔하네요 ㅎㅎ
3,23.04.13.,5,"옵션 선택: 1개(50gx1개)
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",지퍼백으로 담겨있어 남겨도 바삭함 유지할수 있어서 좋네요 ㅎㅎ
4,23.04.12.,4,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛은 너무 달지도 짜지도 않고 딱 좋은 맛이에요 전에 다른곳에서 산 김부각은 맛이너무 강해서 별로였거든요 ㅠ
5,23.04.11.,4,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 열어보니 아니 이렇게 귀염뽀짝 그림이 있는 김부각!!뙇 마주하고나니 열어보고 양도 넉넉해서 한번더 반했어요.😍
6,23.04.11.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",김부각 좋아하는데 이건 더 바삭바삭 김맛도 진해서 저절로 손이 가는 맛이에요~~
7,23.04.11.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",거기에 같이 온 봉투마저 너무 예뻐서 마음이 심쿵~ㅅㅅ👍👍👍
8,23.04.11.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재 구매 각이에요.!!
9,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",평소에 맥주 안주로 김부각을 자주 먹는 편인데
10,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장이 너무 귀여워서 시켜봤어요!!
11,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",찹쌀풀로 만들어서 그런지 바삭바삭하고 맥주 안주로 딱이네요 넘 맛있어요ㅎㅎ
12,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",다음에 또 사먹을게요!!
13,3개사면 1개 더줘서 이득입니다 진짜 맛있게 먹었어요,5,"옵션 선택: 50gx1봉
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어느순간 김부각 세계로 발을 들여논 사람 입니당 
14,23.04.09.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",이 김부각은 짜지도 않고 넘 맛잇게 먹었어요 ㅠ 
15,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",고소하고 바삭하고 진짜 간식으로 최고입니다 👍
16,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어느순간 한봉지 다먹는 저를 발견할 수 있어욥 ㅠ
17,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",엄마아빠도 이거 넘 좋아하세요!!
18,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",역시 믿고먹는 우고래빗입니다
19,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",차나 견과류 주문시 너무 만족해서 
20,23.04.08.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",짜지않고 바삭밧삭 맛있어요
21,23.03.13.,5,"옵션 선택: 3봉(50gx3봉)
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",바싹  바싹  맛나요~~^^
22,23.04.13.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장 정말깔끔하네요 ㅎㅎ
23,23.04.13.,5,"옵션 선택: 1개(50gx1개)
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",지퍼백으로 담겨있어 남겨도 바삭함 유지할수 있어서 좋네요 ㅎㅎ
24,23.04.12.,4,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛은 너무 달지도 짜지도 않고 딱 좋은 맛이에요 전에 다른곳에서 산 김부각은 맛이너무 강해서 별로였거든요 ㅠ
25,23.04.11.,4,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 열어보니 아니 이렇게 귀염뽀짝 그림이 있는 김부각!!뙇 마주하고나니 열어보고 양도 넉넉해서 한번더 반했어요.😍
26,23.04.11.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",김부각 좋아하는데 이건 더 바삭바삭 김맛도 진해서 저절로 손이 가는 맛이에요~~
27,23.04.11.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",거기에 같이 온 봉투마저 너무 예뻐서 마음이 심쿵~ㅅㅅ👍👍👍
28,23.04.11.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재 구매 각이에요.!!
29,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",평소에 맥주 안주로 김부각을 자주 먹는 편인데
30,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장이 너무 귀여워서 시켜봤어요!!
31,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",찹쌀풀로 만들어서 그런지 바삭바삭하고 맥주 안주로 딱이네요 넘 맛있어요ㅎㅎ
32,23.04.10.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",다음에 또 사먹을게요!!
33,3개사면 1개 더줘서 이득입니다 진짜 맛있게 먹었어요,5,"옵션 선택: 50gx1봉
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어느순간 김부각 세계로 발을 들여논 사람 입니당 
34,23.04.09.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",이 김부각은 짜지도 않고 넘 맛잇게 먹었어요 ㅠ 
35,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",고소하고 바삭하고 진짜 간식으로 최고입니다 👍
36,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어느순간 한봉지 다먹는 저를 발견할 수 있어욥 ㅠ
37,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",엄마아빠도 이거 넘 좋아하세요!!
38,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",역시 믿고먹는 우고래빗입니다
39,23.04.08.,5,"옵션 선택: 1개(50gx1개)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",차나 견과류 주문시 너무 만족해서 
40,23.04.08.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",김부각도 주문해봤는데 너무너무 맛있어요!!
41,23.04.08.,5,"옵션 선택: 50gx3개(추가 1개 추가증정)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ
