,기입날짜,별점,옵션,후기
0,23.04.24.,5,"[100%품질 책임보상제]: [수율보장] 박달홍게 / 상품선택: (대) 5마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",철되면 항상 재구매하고 있습니다 집에서 쪄서 먹으니 산지에 가지않아도 되고 좋습니다
1,23.04.24.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [대] 5마리
맛 만족도평범해요신선함적당해요포장적당해요",배송 빠르고 좋아요
2,23.04.24.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [대] 5마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",맛도있고 신선해요!!
3,23.04.24.,5,"[100%품질 책임보상제]: ★오늘의 특가★ / 상품선택: 일품대게 [중] 10마리
신선함적당해요포장꼼꼼해요맛 만족도맛있어요",맛있게 잘 먹었습니다
4,23.04.24.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [특대] 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",또 생각나네요. 맛있어서
5,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [특대] 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",짱좋네요 만족합니다
6,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 박달홍게 / 상품선택: (특대) 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요","부모님댁에 시켜서 주말에 먹었습니다
작은거 3마리나 서비스로 주셔서 푸짐하게 먹었습니다
살수율도 너무너무 좋았어요
가족끼리 너무 잘 먹었습니다!
다음번에 또 시킬게요~~~"
7,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 자숙 연지홍게 / 상품선택: 2kg 6~10미
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",감사합니다!!!!엄마도 대 만족 재구매 할께요!!!!
8,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 자숙 연지홍게 / 상품선택: (황금장)3kg 6~10미
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",늘 대만족!!!!감사합니다 재구매 할께요!!!!
9,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [특대] 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",예전에 실패하지 않고 맛있게 먹었었던 경험이 있기에 딸 생일날 주문했었는데 역시 성공했습니다~ 신선하고 가성비도 좋고 맛도 좋았습니다^^ 서비스도 넘 넘 맛있게 잘 먹었습니다~
10,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [중] 3마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",큰지않으나 실해요~~~
11,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 자숙 연지홍게 / 상품선택: (황금장)3kg 6~10미
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",좋아요  좋아요  좋아요 ~~
12,23.04.23.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [특대] 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",대5마리 살까 중10마리 살까 고민하다가 급 특대5마리로 지름ㅋㅋㅋ 살수율 좋았어요!!! 배송요청날짜에 받아서 너무 맛있게 배부르게 잘 먹었습니다🥰
13,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [특대] 1마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",싸게 잘먹었어요111
14,23.04.22.,5,"[100%품질 책임보상제]: ★오늘의 특가★ / 상품선택: 일품대게 [중] 10마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요","시킬때는 여기서 시켜먹어요 
맛있게 먹었어요 맛있어요"
15,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [중] 3마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",대게가 신선하고 살도 적당합니다
16,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [중] 5마리
신선함신선해요포장적당해요맛 만족도맛있어요","이번엔 정말 깨끗하게 잘왔네요!
딱봐도 신선하게 보였어요
수율도 좋아서 너무 맛있게 잘먹었습니다."
17,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [중] 5마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요","다리엔 살이 많았는데 몸통은 생각보다 별로 먹을게 없었지만 라면에 넣어 먹으니 꿀맛..
담엔 특대로 주문해보렵니당"
18,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 박달홍게 / 상품선택: (대) 5마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요","사장님 게 잘받았습니다 처음 딱 열었는데 게들이 입 뽀끔뽀끔 하는데 무섭더라고요ㅎㅎ 
써비스 주신 조개도 잘먹었어요ㅎ"
19,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 자숙 연지홍게 / 상품선택: (황금장)3kg 6~10미
신선함적당해요포장적당해요맛 만족도맛있어요",라면에 하나씩 넣어먹을 용도로 구입했는데 사이즈 딱적당하니 좋은거 같아요. 자숙홍게 3키로 주문 했는데 13마리 왔네요. 배송도 빠르게 잘 받았어요.
20,23.04.22.,5,"[100%품질 책임보상제]: ★오늘의 특가★ / 상품선택: 일품대게 [중] 10마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",진심 게 JMT...계속 손이가는 맛이예요 살도많구요!!! 잘먹었습니다 ㅎㅎ
21,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 일품대게 / 상품선택: [대] 3마리
신선함신선해요포장적당해요맛 만족도맛있어요",대게가 수율도 좋고 살이 아주 달았습니다! 6마리 주문했는데 다리 떨어진 조금 작은 대게 하나 더 보내주셨더라구요. 맛있게 잘 먹었습니다!!
22,23.04.22.,5,"[100%품질 책임보상제]: [수율보장] 박달홍게 / 상품선택: (대) 5마리
신선함신선해요포장꼼꼼해요맛 만족도맛있어요",잘 먹었습니다 내년에도 잘 부탁드립니다.
